LA_female,FA_female,publication_month,publication_year,i_covid,n_authors,journal_id,log_altmetric,log_cites,log_twitter_all,log_twitter_scientist,log_twitter_commun,log_twitter_public,log_twitter_pract,log_news,log_policy,log_wiki,log_blogs,gender_combination,gender_combo
0,0,2,2015,0,8,CIRCULATION RESEARCH,2.0149031,4.3307333,2.3978953,.69314718,.69314718,1.3862944,0,0,0,0,0,men first and last,men first and last
0,0,2,2015,0,10,EUROPEAN HEART JOURNAL,3.4515736,5.6869755,3.1354942,1.7917595,0,2.6390574,1.6094379,1.3862944,0,0,0,men first and last,men first and last
0,0,2,2015,0,14,CIRCULATION RESEARCH,0,3.8066626,0,0,0,0,0,0,0,0,0,men first and last,men first and last
0,0,2,2015,0,11,EUROPEAN HEART JOURNAL,1.0986123,5.5412636,1.3862944,0,0,1.0986123,.69314718,0,0,0,0,men first and last,men first and last
0,0,2,2015,0,5,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,7.3812327,5.6629605,6.7855878,4.2341065,2.3978953,6.4345465,4.5432949,4.9558272,0,1.0986123,2.9444389,men first and last,men first and last
0,1,2,2015,0,12,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,2.6567569,4.4188404,1.6094379,0,0,0,1.0986123,.69314718,0,0,0,mixed gender team,mixed gender team
0,1,2,2015,0,37,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,.81093019,5.1647859,1.3862944,0,0,.69314718,.69314718,0,0,0,0,mixed gender team,mixed gender team
0,0,2,2015,0,10,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,.4054651,3.4965076,.69314718,0,0,0,.69314718,0,0,0,0,men first and last,men first and last
0,1,2,2015,0,12,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,1.3862944,3.2580965,1.6094379,.69314718,0,1.3862944,0,0,0,0,0,mixed gender team,mixed gender team
0,0,2,2015,0,8,CIRCULATION,2.442347,3.6109178,1.0986123,0,0,1.0986123,0,.69314718,0,0,0,men first and last,men first and last
0,1,2,2015,0,29,EUROPEAN HEART JOURNAL,3.1527359,3.2958369,3.6375861,0,1.0986123,3.2958369,2.0794415,0,0,0,0,mixed gender team,mixed gender team
1,0,2,2015,0,25,CIRCULATION RESEARCH,2.3513753,4.0943446,.69314718,0,.69314718,0,0,.69314718,0,0,0,mixed gender team,mixed gender team
0,1,2,2015,0,9,EUROPEAN HEART JOURNAL,1.6486586,4.2484951,2.1972246,0,0,1.6094379,1.3862944,0,0,0,0,mixed gender team,mixed gender team
0,0,2,2015,0,4,CIRCULATION,3.828424,4.0073333,3.1780539,1.6094379,1.0986123,2.5649493,1.3862944,1.3862944,0,0,.69314718,men first and last,men first and last
0,1,2,2015,0,23,CIRCULATION,2.5335381,4.4773369,2.0794415,1.0986123,0,1.6094379,0,0,0,0,.69314718,mixed gender team,mixed gender team
1,0,2,2015,0,15,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,.4054651,4.356709,.69314718,0,0,.69314718,0,0,0,0,0,mixed gender team,mixed gender team
0,0,2,2015,0,24,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,2.4638534,4.5747108,2.8903718,.69314718,.69314718,2.6390574,.69314718,0,0,0,0,men first and last,men first and last
,0,2,2015,0,12,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,1.011601,3.0445225,1.6094379,0,0,1.3862944,.69314718,0,0,0,0,,
1,1,2,2015,0,14,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,2.5494452,3.0445225,1.7917595,.69314718,0,1.6094379,0,0,0,0,.69314718,women first and last,women first and last
1,0,2,2015,0,9,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,1.178655,4.1588831,1.3862944,0,0,1.3862944,0,0,0,0,0,mixed gender team,mixed gender team
1,1,2,2015,0,11,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,3.3758795,5.3518581,3.8918202,1.0986123,1.0986123,3.5553482,1.7917595,0,.69314718,0,0,women first and last,women first and last
0,1,2,2015,0,8,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,1.6292405,4.2341065,1.7917595,0,0,1.6094379,.69314718,0,0,0,0,mixed gender team,mixed gender team
0,0,2,2015,0,8,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,2.7080503,4.8121843,0,0,0,0,0,0,0,0,.69314718,men first and last,men first and last
1,0,2,2015,0,14,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,2.0794415,4.6634393,1.7917595,.69314718,0,1.6094379,0,0,0,0,0,mixed gender team,mixed gender team
0,0,2,2015,0,8,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,0,3.6888795,0,0,0,0,0,0,0,0,0,men first and last,men first and last
0,0,2,2015,0,1,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,.22314355,0,.69314718,0,0,.69314718,0,0,0,0,0,men first and last,men first and last
0,,2,2015,0,17,CIRCULATION,1.3862944,3.3672957,0,0,0,0,0,0,0,0,0,,
0,1,2,2015,0,13,CIRCULATION,4.9635854,4.5108595,3.9318256,2.0794415,1.0986123,3.0910425,2.4849067,2.8332133,0,0,1.9459101,mixed gender team,mixed gender team
0,0,2,2015,0,12,CIRCULATION,2.8478122,4.1743875,2.0794415,.69314718,.69314718,1.3862944,.69314718,.69314718,.69314718,0,0,men first and last,men first and last
0,1,2,2015,0,25,CIRCULATION,3.9431341,4.8598123,3.9702919,.69314718,1.0986123,3.4965076,2.0794415,1.3862944,0,0,.69314718,mixed gender team,mixed gender team
1,0,2,2015,0,9,EUROPEAN HEART JOURNAL,2.5136561,4.0775375,3.1354942,1.6094379,0,2.4849067,1.7917595,0,0,0,0,mixed gender team,mixed gender team
0,1,2,2015,0,12,EUROPEAN HEART JOURNAL,1.9095426,3.7376697,1.9459101,0,0,1.6094379,1.0986123,0,.69314718,0,0,mixed gender team,mixed gender team
1,0,2,2015,0,8,EUROPEAN HEART JOURNAL,3.1654751,5.7365723,2.3025851,.69314718,.69314718,1.6094379,.69314718,0,1.0986123,.69314718,0,mixed gender team,mixed gender team
0,0,2,2015,0,9,CIRCULATION RESEARCH,2.0794415,4.3174882,0,0,0,0,0,0,0,0,0,men first and last,men first and last
0,0,2,2015,0,6,CIRCULATION,2.5055258,3.3672957,1.3862944,0,0,1.3862944,0,.69314718,0,0,0,men first and last,men first and last
0,1,2,2015,0,5,CIRCULATION,5.7895932,5.0369525,5.220356,2.8903718,1.0986123,4.6249728,3.3672957,3.4011974,0,0,1.0986123,mixed gender team,mixed gender team
,1,2,2015,0,14,EUROPEAN HEART JOURNAL,1.8718022,4.5747108,2.5649493,0,0,2.3025851,.69314718,0,0,0,0,,
0,1,2,2015,0,10,CIRCULATION,1.4929041,3.6375861,2.3025851,0,0,1.9459101,0,0,0,0,0,mixed gender team,mixed gender team
0,1,2,2015,0,9,CIRCULATION RESEARCH,2.2407098,3.0910425,2.6390574,1.3862944,.69314718,1.9459101,1.3862944,0,0,0,0,mixed gender team,mixed gender team
0,1,2,2015,0,37,CIRCULATION RESEARCH,3.6699514,5.5174527,3.8066626,2.6390574,1.0986123,2.9957323,1.6094379,.69314718,.69314718,1.0986123,0,mixed gender team,mixed gender team
0,0,2,2015,0,12,CIRCULATION,1.3862944,4.1431346,0,0,0,0,0,0,0,0,0,men first and last,men first and last
1,1,2,2015,0,9,CIRCULATION,4.2921839,4.7095304,3.1354942,.69314718,.69314718,2.7725887,1.6094379,1.9459101,0,0,1.0986123,women first and last,women first and last
1,0,2,2015,0,20,CIRCULATION RESEARCH,2.4932055,5.8318825,1.3862944,.69314718,.69314718,.69314718,0,.69314718,0,0,0,mixed gender team,mixed gender team
1,0,2,2015,0,9,CIRCULATION,3.4843123,5.4595857,4.0604429,1.6094379,1.3862944,3.3322046,2.6390574,0,0,0,0,mixed gender team,mixed gender team
,0,2,2015,0,12,CIRCULATION,3.1311369,4.4886365,3.5553482,1.9459101,0,2.8332133,2.0794415,0,0,1.0986123,0,,
1,0,2,2015,0,18,CIRCULATION,2.6318889,4.5747108,3.0910425,.69314718,0,2.5649493,1.0986123,0,0,0,0,mixed gender team,mixed gender team
0,0,2,2015,0,13,EUROPEAN HEART JOURNAL,1.6094379,5.2040067,1.9459101,.69314718,.69314718,1.6094379,0,0,0,0,0,men first and last,men first and last
0,0,2,2015,0,9,EUROPEAN HEART JOURNAL,2.9096296,4.2484951,1.7917595,0,0,1.6094379,.69314718,.69314718,.69314718,.69314718,0,men first and last,men first and last
0,0,3,2015,0,4,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,2.6912432,4.2626801,1.3862944,0,0,1.3862944,0,.69314718,0,1.0986123,0,men first and last,men first and last
